"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","yield_tha","yield_straw_tha","yield_total_tha","crop_unified"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_1m",NA,163.57,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6357,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_4m",NA,251.48,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5148,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_7m",NA,295.89,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9589,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_1m",NA,4.61,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0461,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_4m",NA,346.43,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4643,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_7m",NA,276.97,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7697,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_1m",NA,138.44,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3844,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_4m",NA,218.42,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1842,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_7m",NA,297.87,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9787,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_1m",NA,19.54,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1954,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_4m",NA,247.38,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4738,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_7m",NA,360.48,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6048,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_C_r1",NA,349.9,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.499,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_C_r2",NA,392.46,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9246,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_C_r3",NA,391.54,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9154,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_C_r4",NA,354.18,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5418,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_24m",NA,387.81,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8781,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_24m",NA,291.11,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9111,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_24m",NA,335.71,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3571,NA,NA,"rapeseed"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_24m",NA,320.46,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2046,NA,NA,"rapeseed"
2017,NA,"Wendhausen","winter wheat","W_AF_r1_1m",123.39,347.43,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4743,1.2339,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r1_4m",201.49,466.86,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6686,2.0149,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r1_7m",303.32,675.74,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7574,3.0332,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r2_1m",168.57,470.86,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7086,1.6857,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r2_4m",411.05,658.4,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.584,4.1105,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r2_7m",268.81,689.39,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8939,2.6881,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r3_1m",90.2,279.81,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7981,0.902,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r3_4m",335.71,524.69,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2469,3.3571,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r3_7m",267.05,545.36,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4536,2.6705,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r4_1m",108.55,219.53,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1953,1.0855,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r4_4m",269.12,527.33,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2733,2.6912,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r4_7m",211.19,541.66,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4166,2.1119,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_C_r1",260.36,695.44,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9544,2.6036,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_C_r2",264.08,761.95,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6195,2.6408,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_C_r3",240.35,675.88,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7588,2.4035,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_C_r4",288.77,735.35,"signal16","g/m2 per year",NA,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3535,2.8877,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r1_24m",296.96,607.37,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0737,2.9696,NA,"wheat"
2017,NA,"Wendhausen","winter wheat","W_AF_r2_24m",389.66,732.61,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3261,3.8966,NA,"wheat"
