"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","crop_unified","yield_tha","yield_straw_tha","yield_total_tha","harvestyear","treeage"
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_1m",NA,163.57,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",1.6357,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_4m",NA,251.48,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.5148,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_7m",NA,295.89,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.9589,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_1m",NA,4.61,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",0.0461,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_4m",NA,346.43,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",3.4643,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r2_7m",NA,276.97,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.7697,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_1m",NA,138.44,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",1.3844,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_4m",NA,218.42,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.1842,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r3_7m",NA,297.87,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.9787,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_1m",NA,19.54,"signal16","g/m2 per year",1,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",0.1954,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_4m",NA,247.38,"signal16","g/m2 per year",4,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",2.4738,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r4_7m",NA,360.48,"signal16","g/m2 per year",7,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",3.6048,NA,NA,2013,3
2016,NA,"Wendhausen","winter rapeseed","W_AF_r1_24m",NA,387.81,"signal16","g/m2 per year",24,"Wendhausen",52.33336,10.63236,NA,NA,"poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rapeseed",3.8781,NA,NA,2013,3
