"term","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.94765935477284,0.180880485471558,1171.00000000523,10.7676588201058,7.58146695442134e-26
"yield_scaled",0.383201839430875,0.0052258759687252,1170.99999999485,73.3277715973718,0
"distance_to_tree_strip",0.00168435455720453,0.000458005315801572,1170.99999999799,3.67758735344956,0.000246130904284461
"crop_unifiedgrass",-0.023737195367509,0.0229713788708707,1170.99999999879,-1.03333785494303,0.30165917620085
"crop_unifiedmaize",-0.361048089661501,0.0270937762058121,1170.99999999905,-13.3258681594945,7.99617783776232e-38
"crop_unifiedoat",-0.216002013710834,0.0338596668620936,1170.99999999319,-6.37933074151571,2.55574071972308e-10
"crop_unifiedpea",-0.284270038776151,0.0179719376755876,1170.99999999073,-15.8174396054296,3.19908416290753e-51
"crop_unifiedpotato",0.178772111755169,0.0367841313550688,1171.00000000613,4.86003352993503,1.3330668283087e-06
"crop_unifiedrapeseed",-0.108442006197237,0.0113550303032437,1171.00000000944,-9.5501291763404,7.2779440236069e-21
"crop_unifiedrye",0.20534166993328,0.0290629222851415,1171.00000000411,7.06541716344407,2.74260002111201e-12
"crop_unifiedwheat",0.000785041068178906,0.013125653014248,1170.99999999658,0.0598096770748655,0.952317423399458
"sun_MJ_m2_mean",-0.00907111173034495,0.00302182148846311,1170.99999999948,-3.00186882811482,0.00274014598981654
"precip_mm_sum",0.0016010763823787,0.000562405227480765,1171.00000000167,2.84683766107678,0.00449266445086822
"l_contag",-0.0267558161132008,0.00309101296771959,1170.99999999982,-8.65600254435036,1.59098089690305e-17
"AFage",0.00924123694272954,0.00126437750757856,1170.999999996,7.30892228574014,4.973304401183e-13
"clay",0.000537987322619915,0.000102411322054299,1170.99999999697,5.25320161705041,1.77452599150065e-07
"longitude",0.0398200143218595,0.00543132719949999,1170.99999999613,7.33154399637815,4.23289069411991e-13
